prefix,resource,organisation,reference,entity
development-policy,,local-authority-eng:BUC,sbcs-CP14,5600413
development-policy,,local-authority-eng:BUC,sbcs-CP15,5600414
development-policy,,local-authority-eng:BUC,sbcs-CP16,5600415
development-policy,,local-authority-eng:BUC,sbcs-CP17,5600416
development-policy,,local-authority-eng:BUC,wdlp-CP1,5600417
development-policy,,local-authority-eng:BUC,wdlp-CP2,5600418
development-policy,,local-authority-eng:BUC,wdlp-CP3,5600419
development-policy,,local-authority-eng:BUC,wdlp-CP4,5600420
development-policy,,local-authority-eng:BUC,wdlp-CP5,5600421
development-policy,,local-authority-eng:BUC,wdlp-CP6,5600422
development-policy,,local-authority-eng:BUC,wdlp-CP7,5600423
development-policy,,local-authority-eng:BUC,wdlp-CP8,5600424
development-policy,,local-authority-eng:BUC,wdlp-CP9,5600425
development-policy,,local-authority-eng:BUC,wdlp-CP10,5600426
development-policy,,local-authority-eng:BUC,wdlp-CP11,5600427
development-policy,,local-authority-eng:BUC,wdlp-CP12,5600428
development-policy,,local-authority-eng:BUC,wdlp-HW4,5600429
development-policy,,local-authority-eng:BUC,wdlp-HW5,5600430
development-policy,,local-authority-eng:BUC,wdlp-HW6,5600431
development-policy,,local-authority-eng:BUC,wdlp-HW7,5600432
development-policy,,local-authority-eng:BUC,wdlp-HW8,5600433
development-policy,,local-authority-eng:BUC,wdlp-HW9,5600434
development-policy,,local-authority-eng:BUC,wdlp-HW10,5600435
development-policy,,local-authority-eng:BUC,wdlp-HW11,5600436
development-policy,,local-authority-eng:BUC,wdlp-HW12,5600437
development-policy,,local-authority-eng:BUC,wdlp-HW13,5600438
development-policy,,local-authority-eng:BUC,wdlp-HW14,5600439
development-policy,,local-authority-eng:BUC,wdlp-HW15,5600440
development-policy,,local-authority-eng:BUC,wdlp-HW16,5600441
development-policy,,local-authority-eng:BUC,wdlp-HW17,5600442
development-policy,,local-authority-eng:BUC,wdlp-HW18,5600443
development-policy,,local-authority-eng:BUC,wdlp-HW19,5600444
