old-entity,status,entity,notes,end-date,entry-date,start-date
1375042,410,,entities don't exist in latest resource,,,
1378714,410,,entities don't exist in latest resource,,,
1379178,410,,entities don't exist in latest resource,,,
1379249,410,,entities don't exist in latest resource,,,
1381158,410,,entities don't exist in latest resource,,,
1383212,410,,entities don't exist in latest resource,,,
1384451,410,,entities don't exist in latest resource,,,
1386054,410,,entities don't exist in latest resource,,,
1386122,410,,entities don't exist in latest resource,,,
1388844,410,,entities don't exist in latest resource,,,
1389192,410,,entities don't exist in latest resource,,,
1389193,410,,entities don't exist in latest resource,,,
1389617,410,,entities don't exist in latest resource,,,
1389696,410,,entities don't exist in latest resource,,,
1390763,410,,entities don't exist in latest resource,,,
1390877,410,,entities don't exist in latest resource,,,
1391246,410,,entities don't exist in latest resource,,,
1392310,410,,entities don't exist in latest resource,,,
1392379,410,,entities don't exist in latest resource,,,
