end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,42101596,,,,listed-building-outline,,,,597
,,42101597,,,,listed-building-outline,,,,598
,,42101598,,,,listed-building-outline,,,,599
,,42101599,,,,listed-building-outline,,,,600
,,42101600,,,,listed-building-outline,,,,601
,,42101601,,,,listed-building-outline,,,,602
,,42101602,,,,listed-building-outline,,,,603
,,42101603,,,,listed-building-outline,,,,604
,,42101604,,,,listed-building-outline,,,,605
,,42101605,,,,listed-building-outline,,,,606
,,42101606,,,,listed-building-outline,,,,607
,,42101607,,,,listed-building-outline,,,,608
,,42101608,,,,listed-building-outline,,,,609
,,42101609,,,,listed-building-outline,,,,610
,,42101610,,,,listed-building-outline,,,,611
,,42101611,,,,listed-building-outline,,,,612
,,42101612,,,,listed-building-outline,,,,613
,,42101613,,,,listed-building-outline,,,,614
,,42101614,,,,listed-building-outline,,,,615
,,42101615,,,,listed-building-outline,,,,616
,,42101616,,,,listed-building-outline,,,,617
,,42101617,,,,listed-building-outline,,,,618
,,42101618,,,,listed-building-outline,,,,619
,,42101619,,,,listed-building-outline,,,,620
,,42101620,,,,listed-building-outline,,,,621
,,42101621,,,,listed-building-outline,,,,622
,,42101622,,,,listed-building-outline,,,,623
,,42101623,,,,listed-building-outline,,,,624
