end-date,endpoint,entity,entry-date,entry-number,organisation,prefix,resource,start-date,value,reference
,,11100537,,,,park-and-garden,,,,1000644
,,11100538,,,,park-and-garden,,,,1000645
,,11100539,,,,park-and-garden,,,,1000646
,,11100540,,,,park-and-garden,,,,1000647
,,11100541,,,,park-and-garden,,,,1000648
,,11100542,,,,park-and-garden,,,,1000649
,,11100543,,,,park-and-garden,,,,1000650
,,11100544,,,,park-and-garden,,,,1000651
,,11100545,,,,park-and-garden,,,,1000652
,,11100546,,,,park-and-garden,,,,1000653
,,11100547,,,,park-and-garden,,,,1000654
,,11100548,,,,park-and-garden,,,,1000655
,,11100549,,,,park-and-garden,,,,1000656
,,11100550,,,,park-and-garden,,,,1000657
,,11100551,,,,park-and-garden,,,,1000658
,,11100552,,,,park-and-garden,,,,1000659
,,11100553,,,,park-and-garden,,,,1000660
,,11100554,,,,park-and-garden,,,,1000661
,,11100555,,,,park-and-garden,,,,1000662
,,11100556,,,,park-and-garden,,,,1000663
,,11100557,,,,park-and-garden,,,,1000664
,,11100558,,,,park-and-garden,,,,1000665
,,11100559,,,,park-and-garden,,,,1000666
,,11100560,,,,park-and-garden,,,,1000667
,,11100561,,,,park-and-garden,,,,1000668
,,11100562,,,,park-and-garden,,,,1000669
,,11100563,,,,park-and-garden,,,,1000670
,,11100564,,,,park-and-garden,,,,1000671
,,11100565,,,,park-and-garden,,,,1000672
,,11100566,,,,park-and-garden,,,,1000673
,,11100567,,,,park-and-garden,,,,1000674
,,11100568,,,,park-and-garden,,,,1000675
,,11100569,,,,park-and-garden,,,,1000676
,,11100570,,,,park-and-garden,,,,1000677
,,11100571,,,,park-and-garden,,,,1000678
,,11100572,,,,park-and-garden,,,,1000679
,,11100573,,,,park-and-garden,,,,1000680
,,11100574,,,,park-and-garden,,,,1000681
,,11100575,,,,park-and-garden,,,,1000682
,,11100576,,,,park-and-garden,,,,1000683
,,11100577,,,,park-and-garden,,,,1000684
,,11100578,,,,park-and-garden,,,,1000685
,,11100579,,,,park-and-garden,,,,1000686
,,11100580,,,,park-and-garden,,,,1000687
,,11100581,,,,park-and-garden,,,,1000688
,,11100582,,,,park-and-garden,,,,1000689
,,11100583,,,,park-and-garden,,,,1000690
,,11100584,,,,park-and-garden,,,,1000691
,,11100585,,,,park-and-garden,,,,1000692
,,11100586,,,,park-and-garden,,,,1000693
,,11100587,,,,park-and-garden,,,,1000694
,,11100588,,,,park-and-garden,,,,1000695
,,11100589,,,,park-and-garden,,,,1000696
,,11100590,,,,park-and-garden,,,,1000697
,,11100591,,,,park-and-garden,,,,1000698
,,11100592,,,,park-and-garden,,,,1000699
,,11100593,,,,park-and-garden,,,,1000700
,,11100594,,,,park-and-garden,,,,1000701
