prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
planning-condition,,,,local-authority:DNC,U0109205,73000409,,,
planning-condition,,,,local-authority:DNC,U0109207,73000410,,,
planning-condition,,,,local-authority:DNC,U0109208,73000411,,,
planning-condition,,,,local-authority:DNC,U0109209,73000412,,,
planning-condition,,,,local-authority:DNC,U0109210,73000413,,,
planning-condition,,,,local-authority:DNC,U0109211,73000414,,,
planning-condition,,,,local-authority:DNC,U0109212,73000415,,,
planning-condition,,,,local-authority:DNC,U0109215,73000416,,,
planning-condition,,,,local-authority:DNC,U0109216,73000417,,,
planning-condition,,,,local-authority:DNC,U0109217,73000418,,,
planning-condition,,,,local-authority:DNC,U0109221,73000419,,,
planning-condition,,,,local-authority:DNC,U0109231,73000420,,,
planning-condition,,,,local-authority:DNC,U0109258,73000421,,,
planning-condition,,,,local-authority:DNC,U0109259,73000422,,,
planning-condition,,,,local-authority:DNC,U0109266,73000423,,,
planning-condition,,,,local-authority:DNC,U0109272,73000424,,,
planning-condition,,,,local-authority:DNC,U0109273,73000425,,,
planning-condition,,,,local-authority:DNC,U0109286,73000426,,,
planning-condition,,,,local-authority:DNC,U0109287,73000427,,,
planning-condition,,,,local-authority:DNC,U0109288,73000428,,,
planning-condition,,,,local-authority:DNC,U0109290,73000429,,,
planning-condition,,,,local-authority:DNC,U0109291,73000430,,,
planning-condition,,,,local-authority:DNC,U0109292,73000431,,,
planning-condition,,,,local-authority:DNC,U0109336,73000432,,,
planning-condition,,,,local-authority:DNC,U0109342,73000433,,,
planning-condition,,,,local-authority:DNC,U0109343,73000434,,,
planning-condition,,,,local-authority:DNC,U0109344,73000435,,,
planning-condition,,,,local-authority:DNC,U0109346,73000436,,,
planning-condition,,,,local-authority:DNC,U0109365,73000437,,,
planning-condition,,,,local-authority:DNC,U0109372,73000438,,,
planning-condition,,,,local-authority:DNC,U0109373,73000439,,,
planning-condition,,,,local-authority:DNC,U0109374,73000440,,,
planning-condition,,,,local-authority:DNC,U0109377,73000441,,,
planning-condition,,,,local-authority:DNC,U0109417,73000442,,,
planning-condition,,,,local-authority:DNC,U0109422,73000443,,,
planning-condition,,,,local-authority:DNC,U0109426,73000444,,,
planning-condition,,,,local-authority:DNC,U0109427,73000445,,,
planning-condition,,,,local-authority:DNC,U0109438,73000446,,,
planning-condition,,,,local-authority:DNC,U0109439,73000447,,,
planning-condition,,,,local-authority:DNC,U0109450,73000448,,,
planning-condition,,,,local-authority:DNC,U0109451,73000449,,,
planning-condition,,,,local-authority:DNC,U0109452,73000450,,,
planning-condition,,,,local-authority:DNC,U0109499,73000451,,,
planning-condition,,,,local-authority:DNC,U0109506,73000452,,,
planning-condition,,,,local-authority:DNC,U0109509,73000453,,,
planning-condition,,,,local-authority:DNC,U0109510,73000454,,,
planning-condition,,,,local-authority:DNC,U0109522,73000455,,,
planning-condition,,,,local-authority:DNC,U0109523,73000456,,,
